line1_id,line2_id,char1_id,movie_id,char1_name,line1_text,char2_id,char2_name,line2_text,movie_title,movie_year,imdb_rating,imdb_votes,genres,persona_cluster
L434958,L434959,u2421,m155,MEG,What?,u2423,SARAH,I'm dizzy and thirsty.,,,,,,1
L501684,L501685,u7592,m513,IZZY,And?,u7594,JILL,I was too old.,,,,,,1
L39244,L39245,u3656,m241,ANDY,Where?,u3664,SERAFINE,"Somewhere where there are no police, and plenty to eat.",,,,,,1
L129389,L129390,u4467,m295,VITELLI,What?  Say again...,u4467,VITELLI,...Mason.  I can barely hear you.,,,,,,1
L462798,L462799,u2592,m168,PLATO,You sure?,u2585,JIM,Sure I'm sure.  Judy's waiting. You ready to come out now?,,,,,,1
L391369,L391370,u6654,m444,PERRY,Yes.,u6660,ROSE,Don't shit where you eat.,,,,,,1
L572838,L572839,u8114,m550,NICHOLAS,Yes.,u8105,COUNSELOR,"And, they didn't take that watch?",,,,,,1
L477872,L477873,u7349,m497,CARTER,Like that.,u7354,LEE,"I am sorry, but I have too much respect for women.",,,,,,1
L619136,L619137,u3321,m220,MAVERICK,It was bad.,u3326,WOLFMAN,Bad?,,,,,,1
L188117,L188118,u840,m54,ERIK,But --,u851,LOKI,It was my master Keitel's idea.,,,,,,1
L175853,L175854,u4954,m329,TOR,What is happening?,u4941,ED,We're escaping!,,,,,,1
L610025,L610026,u8409,m570,JAEGER,No.,u8408,EPPS,"We need something:  A flare, a signal mirror.",,,,,,1
L522360,L522361,u2852,m188,ELLIE,What?,u2856,MIKE,"Goddamn Venza assaulted a taxi driver in the Bronx, thirteen months ago.  It's coming to court and the judge let him walk because of the pending case law.",,,,,,1
L63439,L63440,u447,m27,MANTAN,Y'know what?,u452,SLOAN,What?,,,,,,1
L274591,L274592,u1307,m87,KIRSTY,Great.,u1308,LARRY,"Well come over, will you? See the place?",,,,,,1
L194957,L194958,u869,m55,STAN,Hey.,u862,MARY,Do you swear you didn't know?,,,,,,1
L623647,L623648,u8590,m582,SWANNEY,Yeah.,u8587,RENTON,You'll have to send us a postcard.,,,,,,1
L237687,L237688,u1116,m73,PATTERSON,Nonsense.,u1118,SAMUEL,"You don't know what Tsavo means, do you?  It means ""slaughter""...",,,,,,1
L636117,L636118,u8725,m592,KEATON,Goddamnit.,u8722,EDIE,They just said they wanted time.,,,,,,1
L119228,L119229,u664,m42,ILSA,And the other alternative?,u669,STRASSER,"My dear Mademoiselle, perhaps you have already observed that in Casablanca, human life is cheap. Good night, Mademoiselle.",,,,,,1
L52482,L52483,u3798,m250,RATH,No.,u3794,ELECTRA,What happens if you do?,,,,,,1
L115474,L115475,u4310,m287,MERRICK,Interesting.,u4300,BUFFY,I kind of had to improvise.  Sorry about your guitar.,,,,,,1
L80932,L80933,u3993,m266,CHANCE,I agree.,u4012,RAND,"... You will join us for dinner, won't you, Mr. Gardiner?",,,,,,1
