line1_id,line2_id,char1_id,movie_id,char1_name,line1_text,char2_id,char2_name,line2_text,movie_title,movie_year,imdb_rating,imdb_votes,genres,persona_cluster
L208894,L208895,u920,m60,DUKE,Crying? Why was she crying?,u918,CLERK,"Well, uh. She didn't say Mr. Duke. But since I know you're here with the Police Convention...",,,,,,2
L593148,L593149,u3105,m203,MICHAEL,"Is it going to be all-out war, like last time?",u3112,SONNY,Until the old man tells me different.,,,,,,2
L597678,L597679,u8329,m565,JEANNE,He never says his name.,u8333,PRIEST,What... does he... look like?,,,,,,2
L120848,L120849,u4331,m289,ACE,Looks bad? I'm gonna tell you what looks bad.,u4359,NICKY,Yeah?,,,,,,2
L635208,L635209,u8712,m591,LITTLE BILL,"Hullo, Bob. Boys, this here is English Bob.",u8710,ENGLISH BOB,Shit and fried eggs.,,,,,,2
L551093,L551094,u3058,m200,MACE,"Okay, so he's a freak who thinks he's sane pretending to be a freak. The point is, he was a hitter. Somebody wanted to shut her up.  But why not just put a little lead in her ear?",u3057,LENNY,Because it had to look random.  Not connected to anything or anyone.  But then why give the rape to me?,,,,,,2
L135250,L135251,u4528,m299,HEATHER,"My ex-boyfriend was about his height, but he was much bulkier. He could bench two-fifty, three hundred easy.",u4538,TRAINER,"I do about three-fifty, four.",,,,,,2
L229412,L229413,u1049,m68,TOMMY,"""Assault on Voltareck III.""  Episode... 31 I think.",u1040,GUY,We're doing episode 31?,,,,,,2
L339131,L339132,u6242,m417,LORD CHAMBERLAIN,Britain chooses not to.,u6251,TENZIN GYATSO,"And, America?",,,,,,2
L556456,L556457,u7986,m541,GUS,"Man, them people was crazy! How they 'spect you to learn all that jive on the first day? ""Hold the pickle! Hold the lettuce! Extra onions! Special sauce! No special sauce!"" Ain't nobody found no meat inside that glop yet.",u7984,CLERK,"Mr. Gorman, the city of Metropolis is generous to a fault, but. . .",,,,,,2
L120907,L120908,u4348,m289,GAGGI,Yeah. Everybody's talkin' about it. They're makin' a big deal out of it.,u4358,MARINO,I know.,,,,,,2
L439284,L439285,u7026,m469,RICHARD,What's the matter?,u7025,PEGGY,"It's all, gone wrong, nothing's working out.",,,,,,2
L459867,L459868,u7220,m487,BUDDY,It's pitiful. Neither one of them know.,u7223,DOLL,I think Daddy suspects.,,,,,,2
L278326,L278327,u5821,m386,BERNIE,"""Harassed.""  Cause I yelled at him when he's riding in his limo?  The guy's a thief, he took my...",u5829,GALE,"He had one <u>tiny</u>, uncharacteristic moment of weakness.  That's not the same thing as a lifetime of petty crime...",,,,,,2
L431115,L431116,u6958,m465,JIMMY,"I was gonna feed 'em, Terry.",u6967,TERRY,"'s all right, kid. I took care of 'em myself this morning.",,,,,,2
L267083,L267084,u5785,m382,WICHITA,"Stop!  Stop it, this afternoon was not what you thought...I overheard you and Pixel, at the side of the mess hall, your idea about the ""test""...Do you believe me?",u5783,WENDY,"Iunno.  Of course I believe you. It's so you...I didn't think it was possible                        ] for you to make me feel worse,                              ] but...you're saying you <u>deliberately</u>                        ] destroyed us!  I don't even get I'm-                        ] sorry-it-was-the-heat-of-the-                               ] moment...                                                   ] ] WICHITA                                            ] I know, I'm...I'm evil.                                     ] ] WENDY                                              ] Oh that's right, baby, you're so                            ] ""evil."" You're, you're so ""dark""...                         ] ] WICHITA                                            ] We should get back.                                         ] ] WENDY                                              ] You're not evil or dark...you're                            ] just scared.                                                ]",,,,,,2
L440871,L440872,u7042,m471,JOE,"The guy sat in my office! You can't get AIDS that way, right?",u7040,DR. ARMBRUSTER,Right.,,,,,,2
L204833,L204834,u5224,m346,GRANT,Before or after what he wanted to tell you?,u5221,CARTER,Before he could breathe a word. He's the only scientist who knows the answer to what we're after. That's why we have to operate --,,,,,,2
L586138,L586139,u8245,m560,HATE COUNSELOR,You can't say that....,u8240,DANNY,"The Nazi's killing his kid. He could've jumped the guy. He could've gouged his eyes out, grabbed the bayonet and gutted him.... What would you have done if they were killing your son?",,,,,,2
L478790,L478791,u7337,m496,CARTER,"We made it, man.",u7343,LEE,No problem.,,,,,,2
L557345,L557346,u7991,m541,MISS HENDERSON,"It's modern. It's up-to-date. It's state-of-the art.  People, I am in love with this machine.  Go ahead, Mr. White.",u7992,PERRY,Where's the handle?,,,,,,2
L173927,L173928,u4929,m328,PAUL,Cinnamon... the spice!  Do you smell it?,u4925,JESSICA,Yes...,,,,,,2
L640354,L640355,u8773,m595,LIZ,The wedding cake check?,u8771,FISHER,Sent it.,,,,,,2
L43759,L43760,u3706,m244,JERRY,Not millions.,u3713,SALLY,He's directing now.,,,,,,2
L421262,L421263,u2327,m150,HALDEMAN,'Cause he hates you.  It's worse when you get it from someone you trust.,u2325,EHRLICHMAN,"He's wrong, you know -- about Kennedy, LBJ, Truman.",,,,,,2
L387402,L387403,u6612,m441,ANNIE,What's it about?,u6615,PAUL,"It's crazy, but I don't really know, I mean I haven't written anything but ""Misery"" for so long that--you read it you can tell me what you think it's about. Maybe you can come up with a title.",,,,,,2
L538727,L538728,u3020,m197,SPOCK,"Under impulse power she expends fuel like any other ship. We call it ""Plasma"" - I do not know the Klingon name for it, but by any name it is merely ionized gas.",u3022,UHURA,"Well, what about all that atmospheric equipment we're carrying to catalogue gaseous anomalies?",,,,,,2
L521311,L521312,u7712,m522,JERRY,That's from carrying around the bull fiddle.,u7722,SUGAR,But there's one thing I envy you for.,,,,,,2
L463650,L463651,u2595,m169,ASHLEY,Radio said negative five.,u2603,RUDY,Negative five?,,,,,,2
L469611,L469612,u2547,m165,HEARST,There's nothing to explain,u2551,MARION,A million dollars a year on art and st-st-statues and there's nothing to explain?!,,,,,,2
L242280,L242281,u1010,m66,DEHAVEN,Should probably ask him that.,u1017,JORDAN,"If I have to ask again, Senator, I'll be asking in front of cameras.",,,,,,2
L103546,L103547,u601,m38,BOB,You don't even know his name.,u603,DIGNAN,"Yes, I do.",,,,,,2
L129538,L129539,u4451,m295,BRYNNER,nan,u4464,SCENE,EXT. MOUNTAINTOP - DAY.,,,,,,2
L568787,L568788,u3117,m204,DICKIE,Shoes too?,u3125,RIPLEY,You said I could pick out a jacket and I just... Sorry.,,,,,,2
L94717,L94718,u4115,m275,JEFFREY,Maybe. But I think the Yellow Man is on drugs. I think Frank supplies him.,u4121,SANDY,Oh yeah?,,,,,,2
L306502,L306503,u1520,m102,MILES,"Not this one. Not unless her HMO covers plastic surgery, which, incidentally, she does not need.",u1517,KENNETH,Everyone needs plastic surgery. You need it.,,,,,,2
L315687,L315688,u1620,m106,PAUL,"Still married, Jake?",u1612,JACOB,Nope.,,,,,,2
L29853,L29854,u3635,m239,WOODWARD,--That cash fund that financed the sabotaging of the Democrats--five guys had control--,u3611,BERNSTEIN,"--Mitchell, Stans, Magruder, Kalmbach--",,,,,,2
L174924,L174925,u4943,m329,GEORGIE,"Yeah, well a couple of things have changed.  It ain't gonna be the Christine Jorgensen story no more. Goddamn ""Variety"" printed the story before I had the rights, and now that bitch is asking for the sky.",u4941,ED,So you're not gonna make the movie?,,,,,,2
L249804,L249805,u5611,m373,LAMBEAU,"This kid's special, Sean. I've never seen anything like him.",u5615,SEAN,"Not much free time, Gerry. LAMBEAU Have you ever heard of a man named Ramanujan?",,,,,,2
L204693,L204694,u5220,m345,VICTOR,"He couldn't generate enough power for the machine to reach critical mass. Yet another mistake for ""Mr. Fantastic.""",u5211,BEN,And you can?  Power it up?,,,,,,2
L83374,L83375,u4040,m268,ELLA,Her who?,u4046,STAMP PAID,Sethe. He took up with her and stayed in there and you don't want nothing to-,,,,,,2
L279567,L279568,u1313,m88,BARRY,"Oh no, Rob, that's not obvious enough. Not at all.  Dick, did you hear that?",u1323,ROB,"Shut up. ""Let's Get It On,"" Marvin Gaye, from Let's Get It On. ""Airbag,"" Radiohead, from OK Computer.",,,,,,2
L619832,L619833,u8525,m578,HATTIE,"You know the saying, ""your heart is in your left hand.""",u8524,HARRY,"Now I was trying to be nice, to make conversation, since we go back some.",,,,,,2
L554662,L554663,u7943,m538,CLEO,"Oh for Chrissakes...  ""White trash Betty.""  I didn't realize the rules went into effect before we entered Safeway.",u7950,KANSAS,"Well, use your head, ""Stalker Betty.""",,,,,,2
L584473,L584474,u8217,m558,KURTZ,What's the good of another post mortem? Suppose you dig up something - well - discreditable to Harry?,u8218,MARTINS,Will you give me...,,,,,,2
L338380,L338381,u1712,m113,COLWYN,Where is the Fortress?,u1715,LYSSA,I don't know. It's a maze of tunnels. I can't see out.,,,,,,2
L446145,L446146,u7086,m474,RHAH,Squad? I didn't know we was still referring to this platoon in terms of squads sir.,u7087,WOLFE,These two holes are yours...,,,,,,2
L189916,L189917,u5074,m336,ED,Because they can.  You heard that kid -- they have 28 billion dollars at their disposal.  They can afford to waste all the time in the world.,u5076,ERIN,And you can't?,,,,,,2
L536219,L536220,u2957,m194,GILLIAN,I belong here.  Suppose by some miracle you do get them through.  Who in the 23rd Century knows anything about Humpback whales?,u2958,KIRK,... You have a point...,,,,,,2
L143405,L143406,u4605,m304,JOSS,Does that mean you think it doesn't exist?,u4602,ELLIE,I'm not sure...  Maybe it simply exists in the search for it.  Maybe its something we have to make for ourselves.,,,,,,2
L490876,L490877,u7533,m509,ETHAN,What's that got to do with us?,u7542,MARTIN,What's goin' on?,,,,,,2
L514248,L514249,u7682,m519,PAUL,That's it. Just the two rooms.,u7683,RASHID,This is the first house I've been in without a TV.,,,,,,2
L525649,L525650,u7779,m526,DAWN,"We could send Mac.  If he can retrieve one suit, we could go back for the other.",u7786,TAYLOR,You're right.,,,,,,2
L126363,L126364,u4421,m293,REGGIE,Is there a Mrs. Dyle?,u4415,DYLE,"Yes, but we're divorced.",,,,,,2
L65322,L65323,u3872,m256,LOU,"Mr. Fink hasn't given a preference, Mr.  Lipnik.",u3871,LIPNIK,"How's about it, Bart?",,,,,,2
L511814,L511815,u7645,m517,DOCTOR LANCASTER,It has been a terrible jolt to her nerves.,u7649,ICHABOD,You will stay at her side?,,,,,,2
L328611,L328612,u1560,m104,DYMOND,"Mr. Goldberg, you claim you met David Ferrie and Clay Shaw while on a vacation here from your accounting business in New York, you had drinks and, under the influence discussed killing Kennedy, is that not so?",u1565,GOLDBERG,I did.,,,,,,2
